SKU_ID,PRODUCT_ID,SKU_NAME,SKU_DESCRIPTION,SKU_CDATE,SKU_CTIME,SKU_MDATE,SKU_MTIME,SKU_IS_DELETED,SKU_CODE,SKU_AVG_QUANTITY
1,1,EMPTY SKU,EMPTY SKU,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,1,1
2,1,"HT REF SUNFLOWER OIL 500 ML POUCH ","HT REF SUNFLOWER OIL 500 ML POUCH ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000109,1
3,1,"HT RVO 500 ml Pouch MRP Rs 50 ","HT RVO 500 ml Pouch MRP Rs 50 ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000821,1
4,1,HT SBO 1 LTR POUCH (NEW),HT SBO 1 LTR POUCH (NEW),10 Mar 2021,15:18:38,04 Aug 2021,22:05:52,0,410001118,1
5,1,"HT RVO 1 L Pouch MRP Rs 95 ","HT RVO 1 L Pouch MRP Rs 95 ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000820,1
6,1,Rasoi No.1Vanaspati 16x1 Ltr Pouch,Rasoi No.1Vanaspati 16x1 Ltr Pouch,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000589,1
7,1,HT REF VEG OIL 1 LTR POUCH (1X12),HT REF VEG OIL 1 LTR POUCH (1X12),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000300,1
8,1,H&T RBO 1L POUCH - W,H&T RBO 1L POUCH - W,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410001115,1
9,1,RASOI NO1 VANASPATI 500ML POUCH 1X32-N,RASOI NO1 VANASPATI 500ML POUCH 1X32-N,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400001114,1
10,1,HIMANI BEST CHOICE RPO-40ML LUP (1x320),HIMANI BEST CHOICE RPO-40ML LUP (1x320),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000982,1
11,1,"HIMANI BEST CHOICE-SFO 1LT BOX(1X16)-NEW ","HIMANI BEST CHOICE-SFO 1LT BOX(1X16)-NEW ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400001032,1
12,1,Best Choice Palm 1 ltr (1X10),Best Choice Palm 1 ltr (1X10),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000141,1
13,1,"Best Choice soya 1 ltr PP (1*12) NEW ","Best Choice soya 1 ltr PP (1*12) NEW ",10 Mar 2021,15:18:38,11 Mar 2022,17:56:04,0,400000926,1
14,1,"HBC RPO 1 LTR POUCH( NEW MRP) ","HBC RPO 1 LTR POUCH( NEW MRP) ",10 Mar 2021,15:18:38,03 Aug 2021,22:13:36,0,400000928,1
15,1,"Best Choice Palm 500 Ml pch (NEW MRP) ","Best Choice Palm 500 Ml pch (NEW MRP) ",10 Mar 2021,15:18:38,12 Aug 2021,17:56:49,0,400000927,1
16,1,RASOI NO1 VANASPATI 500ML POUCH 1X32-New,RASOI NO1 VANASPATI 500ML POUCH 1X32-New,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000979,1
17,1,"Rasoi 1 ltr Pouch (1 X 16)-Siliguri ","Rasoi 1 ltr Pouch (1 X 16)-Siliguri ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000455,1
18,1,H & T RVO 80ML LUP (1 x 120),H & T RVO 80ML LUP (1 x 120),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000874,1
20,1,H&T RBO 1L POUCH SORSHE POSTO 13Gm Promo,H&T RBO 1L POUCH SORSHE POSTO 13Gm Promo,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410001127,1
21,1,Rasoi Vanaspati 80x200 ML Pouch 2 (Yellow),Rasoi Vanaspati 80x200 ML Pouch 2 (Yellow),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000457,1
22,1,Rasoi Gold Vanaspati 200ml pouch (Gold)(1*80),Rasoi Gold Vanaspati 200ml pouch (Gold)(1*80),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000573,1
23,1,Rasoi GoldVanaspati  500ml pouch (Gold) (1*32),Rasoi GoldVanaspati  500ml pouch (Gold) (1*32),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000572,1
24,1,H & T RVO 35ML LUP (1 X 240),H & T RVO 35ML LUP (1 X 240),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000873,1
25,1,"HT SFO 1 Ltr Box (1 X 12) Promo w/Vitam ","HT SFO 1 Ltr Box (1 X 12) Promo w/Vitam ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000431,1
26,1,H&T SBIB 1L Pouch Haldi 50Gm (H&T Promo),H&T SBIB 1L Pouch Haldi 50Gm (H&T Promo),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410001121,1
27,1,"Rasoi Vanaspati 16x1 Ltr Pouch(GOLD) ","Rasoi Vanaspati 16x1 Ltr Pouch(GOLD) ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000571,1
28,1,HT REF RBO OIL 1 LTR  POUCH(NEW),HT REF RBO OIL 1 LTR  POUCH(NEW),10 Mar 2021,15:18:38,04 Aug 2021,22:05:43,0,410001086,1
29,1,HBC SBO 500ML POUCH SABJI  MASALA PROMO,HBC SBO 500ML POUCH SABJI  MASALA PROMO,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400001094,1
30,1,"HBC SFO 500ML POUCH (1x20) ","HBC SFO 500ML POUCH (1x20) ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400001050,1
31,1,HT SBO 500 ML POUCH (NEW),HT SBO 500 ML POUCH (NEW),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410001093,1
32,1,HBC SBO 1L POUCH SABJI  MASALA PROMO,HBC SBO 1L POUCH SABJI  MASALA PROMO,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400001093,1
33,1,RASOI NO.1 VANASPATI  RS.10 PACK (1*160),RASOI NO.1 VANASPATI  RS.10 PACK (1*160),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000959,1
34,1,RASOI NO.1 VANASPATI  RS.20 PACK (1*80),RASOI NO.1 VANASPATI  RS.20 PACK (1*80),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000958,1
35,1,"HT REF SUNFLOWER OIL 1 LTR  POUCH-N ","HT REF SUNFLOWER OIL 1 LTR  POUCH-N ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000689,1
36,1,"Best Choice Soya 750 ml PP ","Best Choice Soya 750 ml PP ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000961,1
37,1,"HBC SFO-1 LTR POUCH MULTI COLOR (1X10) ","HBC SFO-1 LTR POUCH MULTI COLOR (1X10) ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400001017,1
38,1,HT REF VEG OIL 500 ML POUCH (1x24) with vitamin,HT REF VEG OIL 500 ML POUCH (1x24) with vitamin,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000322,1
39,1,"HBC RPO 750 ML POUCH ","HBC RPO 750 ML POUCH ",10 Mar 2021,15:18:38,11 Mar 2022,17:56:07,0,400000960,1
40,1,H&T Smart Baln Immunity Booster 1Ltr Pch,H&T Smart Baln Immunity Booster 1Ltr Pch,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410001057,1
41,1,HBC SBO  1 LTR PP (Navaratna free),HBC SBO  1 LTR PP (Navaratna free),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400001013,1
42,1,HBC KGMO 500ML POUCH,HBC KGMO 500ML POUCH,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400001082,1
43,1,HBC KGMO 1Ltr POUCH,HBC KGMO 1Ltr POUCH,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400001080,1
44,1,RASOI NO.1VANASPATI 16X1 LTR POUCH-NEW,RASOI NO.1VANASPATI 16X1 LTR POUCH-NEW,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000947,1
45,1,"HT SBO 500 ML POUCH ","HT SBO 500 ML POUCH ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000813,1
46,1,"HT SBO 1 LTR POUCH ","HT SBO 1 LTR POUCH ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000811,1
47,1,Bake Magic 15 kg BIB,Bake Magic 15 kg BIB,10 Mar 2021,15:18:38,03 Jul 2021,21:51:43,0,400000356,1
48,1,HT REF RICE BRAN OIL 80 ML LUP NFS (140*1),HT REF RICE BRAN OIL 80 ML LUP NFS (140*1),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410001027,1
49,1,Raosi No-1 500 ml Pouch (1*32),Raosi No-1 500 ml Pouch (1*32),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000594,1
50,1,H & T RVO 90ML LUP (1 x 120),H & T RVO 90ML LUP (1 x 120),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000331,1
51,1,HT SBO 1LTR POUCH FREE SABZI MASALA 20GM,HT SBO 1LTR POUCH FREE SABZI MASALA 20GM,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410001100,1
52,1,H&T RBO 1 LTR POUCH,H&T RBO 1 LTR POUCH,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000891,1
53,1,HIMANI BEST CHOICE RPO-90ML LUP(1x120),HIMANI BEST CHOICE RPO-90ML LUP(1x120),10 Mar 2021,15:18:38,11 Mar 2022,17:56:11,0,400001000,1
54,1,HT REF VEG OIL  1ltr  PACK (NFS),HT REF VEG OIL  1ltr  PACK (NFS),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000253,1
55,1,H & T RVO 45ML LUP (1 X 240),H & T RVO 45ML LUP (1 X 240),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000330,1
56,1,HT SBO 1 LTR POUCH (ROI) DHANIA FREE,HT SBO 1 LTR POUCH (ROI) DHANIA FREE,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410001021,1
57,2,HT SBO 15 LTR TIN (NEW),HT SBO 15 LTR TIN (NEW),10 Mar 2021,15:18:38,26 Jul 2021,15:50:21,0,410001095,1
58,2,"HT SBO 15 LTR Tin ","HT SBO 15 LTR Tin ",10 Mar 2021,15:18:38,26 Jul 2021,15:50:19,0,410000818,1
59,2,HT SBO 15 Kg Tin,HT SBO 15 Kg Tin,10 Mar 2021,15:18:38,26 Jul 2021,15:50:24,0,410000819,1
60,2,"HBC RPO 15 LTR Tin LD-NEW ","HBC RPO 15 LTR Tin LD-NEW ",10 Mar 2021,15:18:38,03 Aug 2021,14:54:26,0,400000954,1
61,2,"RASOI NO.1 VANASPATI 15 LTR TIN-NEW ","RASOI NO.1 VANASPATI 15 LTR TIN-NEW ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000965,1
62,2,"HBC SFO 15 kg TIN SPOUT CAP LD ","HBC SFO 15 kg TIN SPOUT CAP LD ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000715,1
63,2,"HBC SFO 15LTR TIN SPOUT CAP LD-NEW ","HBC SFO 15LTR TIN SPOUT CAP LD-NEW ",10 Mar 2021,15:18:38,26 Jul 2021,15:49:54,0,400000962,1
64,2,"HT RBO 15 kg tin (Trial Sample) ","HT RBO 15 kg tin (Trial Sample) ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000896,1
65,2,"HBC Soya 15 LTR Tin LD-NEW ","HBC Soya 15 LTR Tin LD-NEW ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000953,1
66,2,Emami Healthy & Tasty Veg.   15 Kg Tin,Emami Healthy & Tasty Veg.   15 Kg Tin,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000058,1
67,2,Rasoi No 1 Vanaspati  Yellow 15 Kg Tin,Rasoi No 1 Vanaspati  Yellow 15 Kg Tin,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000595,1
68,2,"Best Choice Palm 15 Ltr Jar ","Best Choice Palm 15 Ltr Jar ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000396,1
69,2,"HBC Soya 15 KG Tin LD ","HBC Soya 15 KG Tin LD ",10 Mar 2021,15:18:38,03 Aug 2021,15:31:21,0,400000693,1
70,2,"HT REF SUNFLOWER OIL 15 KG TIN ","HT REF SUNFLOWER OIL 15 KG TIN ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000310,1
71,2,Best Choice Palm 15 kg tin (0.26*0.26),Best Choice Palm 15 kg tin (0.26*0.26),10 Mar 2021,15:18:38,06 Jul 2021,22:09:35,0,400000151,1
72,2,"HBC RPO 15 KG Tin LD  ","HBC RPO 15 KG Tin LD  ",10 Mar 2021,15:18:38,13 Aug 2021,18:29:08,0,400000692,1
73,2,"HBC RPO 15 LTR Tin LD  ","HBC RPO 15 LTR Tin LD  ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000691,1
74,3,HT SBO 15 LTR JAR (NEW),HT SBO 15 LTR JAR (NEW),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410001094,1
75,3,"HT REF SFO OIL 5 LTR JAR NSC BLAST FREE ","HT REF SFO OIL 5 LTR JAR NSC BLAST FREE ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000939,1
76,3,"HT SBO 5 LTR JAR ","HT SBO 5 LTR JAR ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000816,1
77,3,HT SBO 15 LTR JAR,HT SBO 15 LTR JAR,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000817,1
78,3,"HT REF RBO OIL 5 LTR JAR NSC BLAST FREE ","HT REF RBO OIL 5 LTR JAR NSC BLAST FREE ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000938,1
79,3,HT SBO 2 LTR PET JAR,HT SBO 2 LTR PET JAR,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000968,1
80,3,"Rasoi No-1 15 ltr jar (Yellow)_New ","Rasoi No-1 15 ltr jar (Yellow)_New ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000966,1
81,3,"Rasoi No-1 15 ltr jar (Yellow) ","Rasoi No-1 15 ltr jar (Yellow) ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000521,1
82,3,"HT SBO 5 LTR JAR BUCKET ","HT SBO 5 LTR JAR BUCKET ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000941,1
83,3,"HBC RSBO OIL 5LTR  JAR (VITAMIN A+D) ","HBC RSBO OIL 5LTR  JAR (VITAMIN A+D) ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400001039,1
84,3,"HBC SUNFLOWER 5 LTR JAR-NEW ","HBC SUNFLOWER 5 LTR JAR-NEW ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000963,1
85,3,"Rasoi No 1 Vanaspati  Yellow 15 Kg Jar ","Rasoi No 1 Vanaspati  Yellow 15 Kg Jar ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000523,1
86,3,HT SBO 2L PET JAR 1*6 (NEW),HT SBO 2L PET JAR 1*6 (NEW),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410001079,1
87,3,"H&T RBO 5 LTR JAR-NEW ","H&T RBO 5 LTR JAR-NEW ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410001082,1
88,3,HT SBO 5L HDPE JAR 1*4 (NEW),HT SBO 5L HDPE JAR 1*4 (NEW),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410001081,1
89,3,"Best Choice soya 5ltr Jar PP (1*4)_New ","Best Choice soya 5ltr Jar PP (1*4)_New ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000929,1
90,3,"HBC SUNFLOWER 5 LTR JAR ","HBC SUNFLOWER 5 LTR JAR ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000712,1
91,3,"HBC SUNFLOWER 15 LTR JAR-NEW ","HBC SUNFLOWER 15 LTR JAR-NEW ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000957,1
92,3,"Best Choice soya 15Ltr Jar(new) ","Best Choice soya 15Ltr Jar(new) ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000956,1
93,3,"HT REF RICE BRAN OIL 5 ltr jar  (Sipper Free) ","HT REF RICE BRAN OIL 5 ltr jar  (Sipper Free) ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000978,1
94,3,HT SBO 2 LTR  JAR,HT SBO 2 LTR  JAR,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410001007,1
95,3,"H&T RBO 5 LTR JAR  ","H&T RBO 5 LTR JAR  ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000893,1
96,3,"RASOI GOLD 15KG JAR_W ","RASOI GOLD 15KG JAR_W ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400001087,1
97,3,Healthy & Tasty Sunflower  05 Ltr Jar  (1 X 4),Healthy & Tasty Sunflower  05 Ltr Jar  (1 X 4),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000691,1
98,3,"RASOI YELLOW 15KG JAR_W ","RASOI YELLOW 15KG JAR_W ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400001086,1
99,4,HBC SBO 1L PET SABJI  MASALA PROMO,HBC SBO 1L PET SABJI  MASALA PROMO,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400001095,1
100,4,"HT SFO 1 Ltr Pet Bottle  (1 X 12)  ","HT SFO 1 Ltr Pet Bottle  (1 X 12)  ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000480,1
101,4,"HBC SBO 1L PET_NEW DESIGN ","HBC SBO 1L PET_NEW DESIGN ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400001071,1
102,4,"H&T RBO 1L PET - W ","H&T RBO 1L PET - W ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410001117,1
103,4,HBC SBO 200ML PET_SQ,HBC SBO 200ML PET_SQ,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400001113,1
104,4,"HT REF RICE BRAN OIL 200 ML PET ","HT REF RICE BRAN OIL 200 ML PET ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000983,1
105,4,HBC SBO 1L PET_SQ,HBC SBO 1L PET_SQ,10 Mar 2021,15:18:38,04 Aug 2021,22:04:42,0,400001111,1
106,4,HBC SBO 500ML PET_SQ,HBC SBO 500ML PET_SQ,10 Mar 2021,15:18:38,19 Aug 2021,21:00:23,0,400001112,1
107,4,HT SBO 500ML BOTTLE 1*24 (NEW),HT SBO 500ML BOTTLE 1*24 (NEW),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410001078,1
108,4,HT SBO 1L BOTTLE 1*12 (NEW),HT SBO 1L BOTTLE 1*12 (NEW),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410001077,1
109,4,HT SBO 200 ML BOTTLE  (New),HT SBO 200 ML BOTTLE  (New),10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410001098,1
110,4,HBC SBO 500ML PET SABJI MASALA PROMO,HBC SBO 500ML PET SABJI MASALA PROMO,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400001096,1
111,4,"HT RBO 1 LTR BOTTLE(NEW) ","HT RBO 1 LTR BOTTLE(NEW) ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410001097,1
112,4,HBC KGMO 500ML PET,HBC KGMO 500ML PET,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400001083,1
113,4,"HBC SFO 1L PET (1*12) ","HBC SFO 1L PET (1*12) ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400001084,1
114,4,HBC KGMO 1Ltr PET,HBC KGMO 1Ltr PET,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400001081,1
115,4,"HBC REFINED SBO  500 ML PET_New ","HBC REFINED SBO  500 ML PET_New ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000925,1
116,4,HT REF SOYABEAN OIL 200 ML BOTTLE,HT REF SOYABEAN OIL 200 ML BOTTLE,10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000716,1
117,4,"HT SBO 1 LTR BOTTLE ","HT SBO 1 LTR BOTTLE ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410000812,1
118,4,"HBC SBO SIDEL 1 LTR PET New ","HBC SBO SIDEL 1 LTR PET New ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,400000950,1
119,4,"H&T SBIB 200ML PET - NFS ","H&T SBIB 200ML PET - NFS ",10 Mar 2021,15:18:38,10 Mar 2021,15:18:38,0,410001128,1
